product_id,processing_time
0,14
1,17
2,2
3,5
4,5
5,9
6,11
7,6
8,8
9,14
10,3
11,8
12,9
13,16
14,19
15,7
16,15
17,10
18,11
19,18
20,7
21,17
22,17
23,2
24,5
25,19
26,16
27,9
28,2
29,3
30,11
31,2
32,12
33,5
34,13
35,4
36,2
37,2
38,6
39,7
40,8
41,10
42,19
43,17
44,6
45,11
46,12
47,3
48,3
49,9
50,11
51,5
52,8
53,13
54,16
55,2
56,16
57,5
58,14
59,12
60,13
61,6
62,8
63,6
64,17
65,5
66,14
67,6
68,10
69,16
70,17
71,5
72,17
73,15
74,18
75,19
76,7
77,11
78,5
79,2
80,7
81,2
82,19
83,6
84,4
85,18
86,5
87,4
88,12
89,15
90,18
91,9
92,11
93,2
94,12
95,13
96,4
97,4
98,5
99,5
100,16
101,5
102,19
103,16
104,11
105,3
106,6
107,12
108,13
109,10
110,13
111,4
112,18
113,2
114,2
115,8
116,16
117,12
118,10
119,15
120,4
121,5
122,4
123,13
124,15
125,18
126,10
127,10
128,10
129,4
130,5
131,14
132,16
133,2
134,6
135,5
136,15
137,13
138,15
139,15
140,13
141,18
142,16
143,18
144,3
145,10
146,2
147,6
148,8
149,15
150,9
151,17
152,11
153,10
154,17
155,13
156,8
157,17
158,3
159,14
160,5
161,17
162,5
163,12
164,14
165,8
166,5
167,7
168,13
169,2
170,13
171,10
172,12
173,13
174,7
175,17
176,10
177,4
178,16
179,5
180,5
181,9
182,11
183,11
184,11
185,5
186,16
187,14
188,5
189,11
190,12
191,15
192,9
193,9
194,3
195,14
196,4
197,4
198,3
199,7
